,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
486,,mnist,0.01,N48,MNIST_P36_N48,outofmemory,3600.0,486.0,marabou,MNIST_P36_N48 N48 0.01,False,0,0
489,,mnist,0.01,N15,MNIST_P23_N15,timeout,3600.0,489.0,marabou,MNIST_P23_N15 N15 0.01,False,0,0
498,,mnist,0.01,N49,MNIST_P49_N49,outofmemory,3600.0,498.0,marabou,MNIST_P49_N49 N49 0.01,False,0,0
508,,mnist,0.01,N18,MNIST_P24_N18,timeout,3600.0,508.0,marabou,MNIST_P24_N18 N18 0.01,False,0,0
509,,mnist,0.01,N18,MNIST_P36_N18,timeout,3600.0,509.0,marabou,MNIST_P36_N18 N18 0.01,False,0,0
510,,mnist,0.01,N5,MNIST_P5_N5,timeout,3600.0,510.0,marabou,MNIST_P5_N5 N5 0.01,False,0,0
528,,mnist,0.01,N15,MNIST_P84_N15,timeout,3600.0,528.0,marabou,MNIST_P84_N15 N15 0.01,False,0,0
530,,mnist,0.01,N48,MNIST_P93_N48,outofmemory,3600.0,530.0,marabou,MNIST_P93_N48 N48 0.01,False,0,0
453,,mnist,0.01,N48,MNIST_P1_N48,outofmemory,3600.0,453.0,marabou,MNIST_P1_N48 N48 0.01,False,0,0
559,,mnist,0.01,N5,MNIST_P21_N5,timeout,3600.0,559.0,marabou,MNIST_P21_N5 N5 0.01,False,0,0
568,,mnist,0.01,N49,MNIST_P5_N49,outofmemory,3600.0,568.0,marabou,MNIST_P5_N49 N49 0.01,False,0,0
572,,mnist,0.01,N49,MNIST_P67_N49,outofmemory,3600.0,572.0,marabou,MNIST_P67_N49 N49 0.01,False,0,0
575,,mnist,0.01,N48,MNIST_P25_N48,outofmemory,3600.0,575.0,marabou,MNIST_P25_N48 N48 0.01,False,0,0
591,,mnist,0.01,N15,MNIST_P29_N15,timeout,3600.0,591.0,marabou,MNIST_P29_N15 N15 0.01,False,0,0
602,,mnist,0.01,N15,MNIST_P0_N15,VerificationRunnerError(IndexError),3600.0,602.0,marabou,MNIST_P0_N15 N15 0.01,False,0,0
607,,mnist,0.01,N5,MNIST_P30_N5,timeout,3600.0,607.0,marabou,MNIST_P30_N5 N5 0.01,False,0,0
609,,mnist,0.01,N18,MNIST_P1_N18,timeout,3600.0,609.0,marabou,MNIST_P1_N18 N18 0.01,False,0,0
462,,mnist,0.01,N48,MNIST_P11_N48,outofmemory,3600.0,462.0,marabou,MNIST_P11_N48 N48 0.01,False,0,0
447,,mnist,0.01,N49,MNIST_P66_N49,outofmemory,3600.0,447.0,marabou,MNIST_P66_N49 N49 0.01,False,0,0
386,,mnist,0.01,N15,MNIST_P40_N15,timeout,3600.0,386.0,marabou,MNIST_P40_N15 N15 0.01,False,0,0
265,,mnist,0.01,N48,MNIST_P12_N48,outofmemory,3600.0,265.0,marabou,MNIST_P12_N48 N48 0.01,False,0,0
286,,mnist,0.01,N14,MNIST_P81_N14,outofmemory,3600.0,286.0,marabou,MNIST_P81_N14 N14 0.01,False,0,0
288,,mnist,0.01,N48,MNIST_P90_N48,outofmemory,3600.0,288.0,marabou,MNIST_P90_N48 N48 0.01,False,0,0
294,,mnist,0.01,N14,MNIST_P26_N14,outofmemory,3600.0,294.0,marabou,MNIST_P26_N14 N14 0.01,False,0,0
